Time,Start,End,Stage,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
00:00,00:00,02:30,1,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
00:01,00:00,02:30,2,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
00:02,00:00,02:30,3,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
00:03,00:00,02:30,4,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
00:04,00:00,02:30,5,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
00:05,00:00,02:30,6,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
00:06,00:00,02:30,7,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
00:07,00:00,02:30,8,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
00:08,02:00,04:30,1,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
00:09,02:00,04:30,2,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
00:10,02:00,04:30,3,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
00:11,02:00,04:30,4,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
00:12,02:00,04:30,5,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
00:13,02:00,04:30,6,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
00:14,02:00,04:30,7,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
00:15,02:00,04:30,8,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
00:16,04:00,06:30,1,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
00:17,04:00,06:30,2,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
00:18,04:00,06:30,3,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
00:19,04:00,06:30,4,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
00:20,04:00,06:30,5,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
00:21,04:00,06:30,6,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
00:22,04:00,06:30,7,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
00:23,04:00,06:30,8,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
00:24,06:00,08:30,1,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
00:25,06:00,08:30,2,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
00:26,06:00,08:30,3,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
00:27,06:00,08:30,4,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
00:28,06:00,08:30,5,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
00:29,06:00,08:30,6,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
00:30,06:00,08:30,7,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
